data,hora,natureza,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
2020-09-04 00:00:00,15:56:00,COM VÍTIMA,FINALIZADA,ESTÂNCIA,RUA SAO MIGUEL,,,PROXIMO AO POSTO IPIRANGA- EM FRENTE AO POSTO PETROISA.,ESTÂNCIA,,CIDADE,COLISÃO TRASEIRA,COLISÃO COM VÍTIMA,2,,,,,,,,,1,Longo da via,Bom,Não existe,Incompleta,Seca,Mal conservada,Não existe,R-6a,,Dupla,Faixa contínua,,
2020-09-04 00:00:00,16:14:00,SEM VÍTIMA,FINALIZADA,ENCRUZILHADA,AV NORTE,,RUA AUGUSTO RODRIGUES,AO LADO DA PRACA DA PICANHA,ENCRUZILHADA,376,SUBURBIO,COLISÃO,COLISÃO SEM VÍTIMA/ VEÍCULO OFICIAL,1,,,,,,,,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,,,Canteiro central,,
2020-09-04 00:00:00,16:21:00,COM VÍTIMA,FINALIZADA,CAMPO GRANDE,EST DE BELEM,,RUA FONSECA OLIVEIRA,E/F ACADEMIA HI,CAMPO GRANDE,504,CIDADE,ATROPELAMENTO,VEICULO ATROPELOU UM PEDESTRE VT 26 NO LOCAL,,,,,1,,,1,,1,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,50 km/h,Dupla,Faixa contínua,,
2020-09-04 00:00:00,17:12:00,COM VÍTIMA,FINALIZADA,MANGUEIRA,RUA VINTE E UM DE ABRIL,1757,,PROX AO SUPERMERCADO BARATEIRO,MANGUEIRA,,,COLISÃO COM CICLISTA,COLISAO ENTRE MOTO E BICICLETA.,,1,,1,,,,,,2,Longo da via,Chuvoso,Não existe,Não existente,Molhada,Perfeito estado,Não existe,Não há placas,40 km/h,Dupla,Não existe,,
2020-09-05 00:00:00,07:53:00,SEM VÍTIMA,FINALIZADA,BOA VISTA,RUA CAPITAO RUY LUCENA,71,RUA DOM BOSCO,NA LATERAL DO BATALHÃO DA RADIO PATRULHA,BOA VISTA,,,CHOQUE OBJETO FIXO,SEM VITIMA,,,,,,,,1,,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,,Dupla,Faixa seccionada,,
2020-09-05 00:00:00,10:18:00,COM VÍTIMA,FINALIZADA,CIDADE UNIVERSITÁRIA,RUA MAURICEIA,515,RUA GENERAL VARGAS,AO LADO DA SUDENE,CIDADE UNIVERSITÁRIA,,SUBURBIO,CHOQUE VEÍCULO PARADO,COM UMA VITIMA SAMU NO LOCAL,2,,,,,,,,,2,Longo da via,Bom,Não existe,Ilegível,Seca,Perfeito estado,Faixa de pedestre,Não há placas,30 km/h,Dupla,Faixa seccionada,,
2020-09-05 00:00:00,16:37:00,VÍTIMA FATAL,FINALIZADA,PINA,AVENIDA CELSO FURTADO (VIA MANGUE),,,SENTIDO PINA. ANTES DO SHOPPING RIO MAR.,PINA,,CIDADE,CHOQUE OBJETO FIXO,,,1,,,,,,,,,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,,60 km/h,Dupla,Faixa seccionada,Canteiro central,Outros
2020-09-07 00:00:00,19:29:00,COM VÍTIMA,FINALIZADA,JARDIM SÃO PAULO,AV SAO PAULO,376,RUA OSORIO BORBA,EM FRENTE AO SUPERMERCADO RENDE MAIS. LADO OPOSTO AO ABRIGO ESPÍRITA BATISTA DE CARVALHO.,JARDIM SÃO PAULO,,CIDADE,ABALROAMENTO TRANSVERSAL,COLISÃO ENTRE AUTO E MOTO C/V,1,1,,,,,,,,1,Esquina,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,30 km/h,Dupla,Faixa seccionada,,
2020-09-06 00:00:00,11:08:00,COM VÍTIMA,FINALIZADA,CASA FORTE,AV DEZESSETE DE AGOSTO,,,NA ENTRADA DO SHOPPING PLAZA EM FRENTE AO MC DONALD´S,CASA FORTE,,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISÃO COM VITIMAS A ESPERA DO SAMU,1,1,,,,,,,,2,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,50 km/h,Dupla,Faixa contínua,,
2020-09-06 00:00:00,14:58:00,COM VÍTIMA,FINALIZADA,PASSARINHO,RUA SANTA TEREZA,96,,PROXIMO A DELEGACIA DA MACAXEIRA,PASSARINHO,,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,30 km/h,Dupla,Não existe,,
2020-09-06 00:00:00,17:33:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA BALTAZAR PASSOS,1280,RUA VISCONDE DE JEQUITINHONHA,POR TRÁS DO PARQUE DONA LINDU / SEMÁFORO 154,BOA VIAGEM,154,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISÃO 2 MOTOS C/VITIMA,,2,,,,,,,,1,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,,Dupla,Faixa contínua,,
2020-09-06 00:00:00,19:08:00,COM VÍTIMA,CANCELADA,BOA VIAGEM,RUA BALTAZAR PASSOS,1280,RUA VISCONDE DE JEQUITINHONHA,POR TRÁS DO PARQUE DONA LINDU / SEMÁFORO 154,BOA VIAGEM,,,COLISÃO,ENTRE AUTO E MOTO. C/V,1,1,,,,,,,,1,,,,,,,,,,,,,
2020-09-06 00:00:00,20:06:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,1280,,VT 13 NO LOCAL. LADO OPOSTO AO Nº 1280.,BOA VIAGEM,,SUBURBIO,ABALROAMENTO LONGITUDINAL,ENTRE AUTO E MOTO. C/V,1,1,,,,,,,,1,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,,Única,Faixa seccionada,,
2020-09-07 00:00:00,03:27:00,COM VÍTIMA,FINALIZADA,JOANA BEZERRA,PTE JOSE DE BARROS LIMA,,,APÓS A PASSARELA DO FORUM- SENTIDO DERBY,JOANA BEZERRA,,CIDADE,COLISÃO,COLISÃO C/VITIMA - VEICULO CAUSADOR DO ACIDENTE SE EVADIU- SEM DEIXAR VESTIGIOS DE IDENTIFICAÇÃO - VÍTIMA PRESA NAS FERRAGENS- POSTERIORMENTE SOCORRIDA PELA UNIDADE PÚBLICA DE SAÚDE,2,,,,,,,,,1,,,,,,,,,,,,,
2020-09-07 00:00:00,15:43:00,COM VÍTIMA,FINALIZADA,VÁRZEA,RUA GASTAO VIDIGAL,935,,APÓS A CAPELA SANTA CLARA- PROXIMO DA ASSEMBLEIA DE DEUS,VÁRZEA,,,ABALROAMENTO TRANSVERSAL,COLISÃO ENTRE AUTO E MOTO C/V,1,1,,,,,,,,1,Longo da via,Bom,Não existe,,Seca,Perfeito estado,Não existe,,,Dupla,Faixa seccionada,,
2020-09-07 00:00:00,19:59:00,COM VÍTIMA,FINALIZADA,TORREÃO,AV GOVERNADOR AGAMENON MAGALHAES,,,EM FRENTE AO POSTO PETROBRAS- PROXIMO DA ACADEMIA DA CIDADE- SENTIDO RECIFE,TORREÃO,379,CIDADE,ABALROAMENTO TRANSVERSAL,COLISÃO ENTRE AUTO E MOTO C/V,1,1,,,,,,,,1,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Única,Faixa seccionada,,
2020-09-07 00:00:00,20:27:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,2600,RUA PROFESSOR JOSE BRANDAO,AO LADO DA FARMÁCIA INDEPENDENTE,BOA VIAGEM,550,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO ENTRE DOIS AUTOS C/V,2,,,,,,,,,2,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,,Única,Canteiro central,,
2020-09-08 00:00:00,02:24:00,COM VÍTIMA,FINALIZADA,CAMPO GRANDE,EST DE BELEM,436,,APÓS A SECRETARIA DA FAZENDA,CAMPO GRANDE,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO ENTRE DUAS MOTOCICLETA,,2,,,,,,,,2,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Mal conservada,,,,Dupla,Faixa contínua,,
2020-09-08 00:00:00,03:15:00,COM VÍTIMA,FINALIZADA,PINA,AVENIDA CELSO FURTADO (VIA MANGUE),,,APÓS O SHOPPING RIO MAR.,PINA,,SUBURBIO,ABALROAMENTO LONGITUDINAL,OCORRÊNCIA ENVOLVENDO AUTO E MOTO. SEGUNDO CONFERÊNCIA COM O BOLETIM FÍSICO- O AUTO EVADIU-SE DO LOCAL DO ACIDENTE.,1,1,,,,,,,,1,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Única,Faixa seccionada,,
2020-09-08 00:00:00,07:27:00,COM VÍTIMA,FINALIZADA,MADALENA,AV ENGENHEIRO ABDIAS DE CARVALHO,1771,,LADO OPOSTO A FACULDADE ESTÁCIO,MADALENA,327,CIDADE,COLISÃO TRASEIRA,COLISÃO COM VITIMA- COLISÃO TRASEIRA,1,1,,,,,,,,1,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,,Única,Canteiro central,,
2020-09-08 00:00:00,09:01:00,COM VÍTIMA,FINALIZADA,BOA VISTA,AV GOVERNADOR AGAMENON MAGALHAES,1387,RUA DOM BOSCO,,BOA VISTA,174,OLINDA,ABALROAMENTO LONGITUDINAL,COLISÃO COM VITIMA,1,1,,,,,,,,1,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,R-4a,60 km/h,Dupla,Canteiro central,,
2020-09-08 00:00:00,10:56:00,COM VÍTIMA,FINALIZADA,BAIRRO DO RECIFE,CAIS DO APOLO,,,EM BAIXO DO SEMAFORO 436  EM FRENTE A PREFEITURA DO RECIFE,BAIRRO DO RECIFE,,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISÃO COM VITIMA,,1,,,,,,1,,1,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,40 km/h,Dupla,Canteiro central,,
2020-09-08 00:00:00,12:52:00,COM VÍTIMA,CANCELADA,TORRE,RUA ALBERTO PAIVA,192,,PROX A PIZZARIA HUT,TORRE,,,COLISÃO,COLISAO ENTRE AUTO E MOTO COM UMA VITIMA,1,1,,,,,,,,1,,,,,,,,,,,,,
2020-09-08 00:00:00,13:19:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,RUA DO HOSPICIO,,RUA JOAO LIRA,E/F A PRAÇA TREZE DE MAIO NO SEMAFORO 032,SANTO AMARO,32,SUBURBIO,COLISÃO TRASEIRA,COLISAO ENTRE ÔNIBUS E MOTO COM UMA VITIMA,,1,,,,1,,,,2,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,,,,,,
2020-09-08 00:00:00,14:10:00,COM VÍTIMA,FINALIZADA,IBURA,AV DOIS RIOS,3,,EM FRENTE A KM GESSO E PROXIMO AO SEMAFORO 561,IBURA,561,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO COM VÍTIMA,1,,,,,,,,1,1,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa contínua,,
2020-09-08 00:00:00,14:19:00,COM VÍTIMA,FINALIZADA,PINA,AV ANTONIO DE GOES,570,,PROXIMO A SAMSUNG,PINA,,CIDADE,COLISÃO TRASEIRA,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Outros,Outras,,Única,Faixa seccionada,,
2020-09-08 00:00:00,18:30:00,COM VÍTIMA,FINALIZADA,AFOGADOS,RUA VINTE E UM DE ABRIL,983,,E/F A FÁBRICA DE CAFÉ PETINHO,AFOGADOS,,SUBURBIO,ABALROAMENTO LONGITUDINAL,AUTO E MOTO.,1,1,,,,,,,,1,Longo da via,Bom,Não existe,Ilegível,Seca,Mal iluminada,Não existe,,,Dupla,Não existe,,
2020-09-09 00:00:00,07:00:00,COM VÍTIMA,FINALIZADA,CASA FORTE,AV DEZESSETE DE AGOSTO,2541,EST DO ARRAIAL,E/F A COMPESA. LIVRARIA E CAFÉ 17,CASA FORTE,107,CIDADE,COLISÃO COM CICLISTA,COLISÃO ENTRE UM ONIBUS E UM CICLISTA,,,,1,,1,,,,1,Cruzamento,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,R-6c,60 km/h,Dupla,Faixa contínua,,
2020-09-09 00:00:00,09:26:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,AV NORTE,6500,,LADO OPOSTO A POLICLÍNICA PROFESSOR BARROS LIMA.,CASA AMARELA,256,SUBURBIO,COLISÃO TRASEIRA,COLISÃO COM VITIMA SOCORRIDA PELO SAMU,,2,,,,,,,,1,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,,Dupla,Faixa contínua,Canteiro central,
