data,hora,natureza,bairro,endereco,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,sinalizacao,condicao_via,conservacao_via,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1
2020-01-11 00:00:00,21:24:00,COM VÍTIMA,IBURA,AV DOIS RIOS,,,COLISÃO,ENTRE AUTO E MOTO. C/V,1,1,,,,,,,,1,,,,,,,,,
2020-01-11 00:00:00,22:18:00,SEM VÍTIMA,IBURA,AV DOIS RIOS,,,COLISÃO,ENTRE 2 AUTOS. S/V,2,,,,,,,,,0,,,,,,,,,
2020-01-11 00:00:00,23:37:00,SEM VÍTIMA,SANTO AMARO,AV CRUZ CABUGA,479,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISAO SEM VITIMAS,1,,,,,1,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Dupla,Faixa seccionada
2020-01-12 00:00:00,01:03:00,SEM VÍTIMA,TORRE,RUA DOM MANOEL DA COSTA,252,CIDADE,ABALROAMENTO TRANSVERSAL,COLISÃO ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,,Única,Faixa seccionada
2020-01-12 00:00:00,04:24:00,SEM VÍTIMA,AFLITOS,AV CONS ROSA E SILVA,47,,ABALROAMENTO TRANSVERSAL,COLISÃO ENTRE DOIS AUTOS C/V,2,,,,,,,,,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Única,Faixa seccionada
2020-01-12 00:00:00,05:47:00,COM VÍTIMA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,SUBURBIO,CHOQUE OBJETO FIXO,VIATURA DA PM CHOCOU-SE EM UMA ÁRVORE C/V,1,,,,,,,,,2,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Única,Faixa seccionada
2020-01-12 00:00:00,06:26:00,SEM VÍTIMA,BOA VIAGEM,RUA RIBEIRO DE BRITO,332,SUBURBIO,ABALROAMENTO TRANSVERSAL,SEM VITIMAS,2,,,,,,,,,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Dupla,Outros
2020-01-12 00:00:00,06:53:00,COM VÍTIMA,SANTO AMARO,AV CRUZ CABUGA,,CIDADE,ABALROAMENTO LONGITUDINAL,COM UMA VITIMA -SAMU E BOMBEIROS NO LOCAL,1,1,,,,,,,,1,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Outras,,Dupla,Faixa contínua
2020-01-12 00:00:00,10:17:00,SEM VÍTIMA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,349,SUBURBIO,COLISÃO TRASEIRA,ENTRE QUATRO VEÍCULOS AUTO PASSEIO,4,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Dupla,
2020-01-12 00:00:00,10:23:00,SEM VÍTIMA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,287,,ABALROAMENTO LONGITUDINAL,ONIBUS E AUTO,1,,,,,1,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Dupla,
2020-01-12 00:00:00,10:30:00,SEM VÍTIMA,MANGUEIRA,RUA TAMBAU,,CIDADE,ABALROAMENTO LONGITUDINAL,DOIS AUTOS,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,40 km/h,,Faixa seccionada
2020-01-12 00:00:00,10:39:00,SEM VÍTIMA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,,COLISÃO,COLISAO S/ VITIMA. ENTRE ONIBUS E VEICULO PARTICULAR,1,,,,,1,,,,0,,,,,,,,,
2020-01-12 00:00:00,12:09:00,COM VÍTIMA,BOA VIAGEM,AV BOA VIAGEM,,CIDADE,ATROPELAMENTO,BICICLETA E PEDESTRE,,,,1,1,,,,,1,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,,Única,Faixa contínua
2020-01-12 00:00:00,13:34:00,COM VÍTIMA,PASSARINHO,EST DO PASSARINHO,,SUBURBIO,COLISÃO FRONTAL,AUTO PASSEIO X MOTO COM VÍTIMA,1,1,,,,,,,,1,Longo da via,Bom,Não existente,Seca,Mal conservada,Não há placas,,Dupla,Não existe
2020-01-12 00:00:00,14:13:00,SEM VÍTIMA,AFOGADOS,RUA NICOLAU PEREIRA,73,SUBURBIO,COLISÃO,SEM VITIMA,2,,,,,,,,,0,,,,,,,,,
2020-01-12 00:00:00,14:22:00,SEM VÍTIMA,BOA VIAGEM,RUA DOS NAVEGANTES,,,ABALROAMENTO LONGITUDINAL,ENTRE AUTO PASSEIO X MOTO S/V,1,1,,,,,,,,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,R-6a,,Única,Não existe
2020-01-12 00:00:00,16:27:00,SEM VÍTIMA,ESPINHEIRO,AV GOVERNADOR AGAMENON MAGALHAES,78,SUBURBIO,COLISÃO TRASEIRA,ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,60 km/h,Única,Faixa seccionada
2020-01-12 00:00:00,17:13:00,SEM VÍTIMA,BOA VIAGEM,AV DOM JOAO VI,,SUBURBIO,CAPOTAMENTO,VEICULO CAPOTA E CAI SOBRE O CANAL,1,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,,,Única,Faixa seccionada
2020-01-12 00:00:00,18:41:00,SEM VÍTIMA,IPSEP,RUA JAMAICA,,SUBURBIO,ABALROAMENTO TRANSVERSAL,ENTRE 2 AUTOS. S/V,2,,,,,,,,,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,,Única,Não existe
